individual_number;placed from;placed from angle (degrees);rotation 1 direction;full lap;go down angle (degrees);rotation category measured;exit angle (degrees);smallest possible angle (degrees);smallest absolute angle (degrees);total absolute degrees of rotation;initial exit
1;ccw;80;ccw;0;180;ccw;185;100;100;260;190
1;cw;290;cw;0;150;cw;145;-140;140;220;190
1;ccw;90;cw;0;120;cw;140;30;30;30;190
1;cw;320;ccw;0;165;ccw;150;-155;155;155;190
1;ccw;90;cw;0;185;cw;150;95;95;95;190
1;cw;285;cw;0;125;cw;155;-160;160;200;190
1;ccw;70;ccw;0;200;ccw;145;130;130;230;190
1;cw;275;cw;0;145;cw;145;-130;130;230;190
1;ccw;80;cw;0;100;cw;160;20;20;20;190
1;cw;285;cw;0;130;cw;145;-155;155;205;190
2;cw;75;cw;0;240;cw;310;165;165;165;325
2;ccw;200;cw;0;330;cw;340;130;130;130;325
2;cw;60;ccw;0;305;ccw;330;-115;115;115;325
2;ccw;150;ccw;0;40;ccw;5;-110;110;110;325
2;cw;90;ccw;0;325;ccw;345;-125;125;125;325
2;ccw;250;cw;0;0;cw;5;110;110;110;325
2;cw;50;ccw;0;295;ccw;340;-115;115;115;325
2;ccw;215;ccw;0;5;ccw;345;150;150;210;325
2;cw;95;cw;0;250;cw;325;155;155;155;325
2;ccw;210;ccw;0;30;ccw;350;180;180;180;325
3;ccw;325;ccw;0;25;ccw;40;60;60;300;340
3;cw;130;ccw;0;45;ccw;90;-85;85;85;340
3;ccw;195;cw;0;20;cw;70;-175;175;185;340
3;cw;80;ccw;0;45;ccw;45;-35;35;35;340
3;ccw;210;ccw;0;350;both;5;140;140;240;340
3;cw;85;ccw;0;325;ccw;330;-120;120;120;340
3;ccw;185;cw;0;325;cw;335;140;140;140;340
3;cw;165;cw;0;275;cw;325;110;110;110;340
3;ccw;205;ccw;0;255;both;345;50;50;80;340
3;cw;105;cw;0;225;cw;320;120;120;120;340
4;cw;140;ccw;0;35;both;30;-105;105;505;30
4;ccw;310;cw;0;45;cw;20;95;95;95;30
4;cw;140;cw;0;320;cw;5;180;180;180;30
4;ccw;295;cw;0;45;cw;10;110;110;110;30
4;cw;130;cw;0;45;cw;355;-85;85;275;30
4;ccw;270;cw;0;10;cw;0;100;100;100;30
4;cw;120;cw;0;290;cw;350;170;170;170;30
4;ccw;280;ccw;0;345;both;355;65;65;205;30
4;cw;125;cw;0;305;cw;355;180;180;180;30
4;ccw;295;ccw;0;30;both;355;95;95;205;30
5;ccw;230;cw;0;355;cw;250;125;125;125;250
5;cw;280;ccw;0;230;ccw;225;-50;50;50;250
5;ccw;85;ccw;0;270;ccw;235;-175;175;175;250
5;cw;45;ccw;0;235;ccw;230;-170;170;170;250
5;ccw;220;cw;0;275;cw;250;55;55;55;250
5;cw;355;ccw;0;235;ccw;240;-120;120;120;250
5;ccw;125;cw;0;305;cw;255;180;180;180;250
5;cw;280;ccw;0;220;ccw;240;-60;60;60;250
5;ccw;165;cw;0;290;cw;260;125;125;125;250
5;cw;265;cw;1;285;cw;280;20;20;380;250
6;ccw;230;cw;0;315;cw;350;85;85;85;335
6;cw;80;cw;0;330;cw;15;-110;110;250;335
6;ccw;230;ccw;0;20;ccw;15;150;150;210;335
6;cw;60;cw;0;310;cw;0;-110;110;250;335
6;ccw;230;ccw;0;325;ccw;310;95;95;265;335
