index;beetle;individual_number;date;video 2 name;run number;placed from;placed from angle theoretical (degrees);start time;placed from angle (degrees);rotation 1 direction;rotation 1 full lap? (degrees);angle before direction change 1 (degrees);rotation 2 direction;rotation 2 full lap? (degrees);angle before direction change 2 (degrees);rotation 3 direction;rotation 3 full lap? (degrees);end time;go down angle (degrees);rotation category manual;rotation category measured;exit angle (degrees);comment;smallest possible angle (degrees);smallest possible direction;smallest possible rotation large;smallest absolute angle (degrees);end angle for rotation 1 (degrees);end angle for rotation 2 (degrees);degrees rotation 1;degrees rotation 2;degrees rotation 3;total absolute degrees of rotation
1;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;1;ccw;100,00;00:09:19;80;ccw;;;;;;;;00:09:22;180;ccw;ccw;185;;100;cw;0;100;180;180;-260;0;0;260
2;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;2;cw;280,00;00:09:41;290;cw;;;;;;;;00:09:46;150;cw;cw;145;;-140;ccw;0;140;150;150;220;0;0;220
3;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;3;ccw;100,00;00:09:57;90;cw;;;;;;;;00:09:59;120;no;cw;140;;30;cw;0;30;120;120;30;0;0;30
4;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;4;cw;280,00;00:10:11;320;ccw;;;;;;;;00:10:12;165;ccw;ccw;150;;-155;ccw;0;155;165;165;-155;0;0;155
5;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;5;ccw;100,00;00:10:24;90;cw;;;;;;;;00:10:25;185;cw;cw;150;;95;cw;0;95;185;185;95;0;0;95
6;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;6;cw;280,00;00:10:36;285;cw;;;;;;;;00:10:38;125;cw;cw;155;;-160;ccw;0;160;125;125;200;0;0;200
7;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;7;ccw;100,00;00:10:49;70;ccw;;;;;;;;00:10:51;200;ccw;ccw;145;;130;cw;0;130;200;200;-230;0;0;230
8;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;8;cw;280,00;00:11:02;275;cw;;;;;;;;00:11:03;145;cw;cw;145;;-130;ccw;0;130;145;145;230;0;0;230
9;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;9;ccw;100,00;00:11:16;80;cw;;;;;;;;00:11:19;100;no;cw;160;;20;cw;0;20;100;100;20;0;0;20
10;1;1;20221119;FirstVsSubsequent_20221119_cam2_00;10;cw;280,00;00:11:32;285;cw;;;;;;;;00:11:33;130;cw;cw;145;;-155;ccw;0;155;130;130;205;0;0;205
11;2;2;20221119;FirstVsSubsequent_20221119_cam2_00;1;cw;55,00;00:16:48;75;cw;;;;;;;;00:16:57;240;cw;cw;310;;165;cw;1;165;240;240;165;0;0;165
12;2;2;20221119;FirstVsSubsequent_20221119_cam2_00;2;ccw;235,00;00:17:33;200;cw;;;;;;;;00:17:36;330;cw;cw;340;;130;cw;0;130;330;330;130;0;0;130
13;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;3;cw;55,00;00:01:03;60;ccw;;;;;;;;00:01:06;305;ccw;ccw;330;;-115;ccw;0;115;305;305;-115;0;0;115
14;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;4;ccw;235,00;00:01:27;150;ccw;;;;;;;;00:01:29;40;ccw;ccw;5;;-110;ccw;0;110;40;40;-110;0;0;110
15;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;5;cw;55,00;00:02:02;90;ccw;;;;;;;;00:02:05;325;ccw;ccw;345;;-125;ccw;0;125;325;325;-125;0;0;125
16;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;6;ccw;235,00;00:02:25;250;cw;;;;;;;;00:02:26;0;cw;cw;5;;110;cw;0;110;0;0;110;0;0;110
17;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;7;cw;55,00;00:02:50;50;ccw;;;;;;;;00:02:54;295;ccw;ccw;340;;-115;ccw;0;115;295;295;-115;0;0;115
18;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;8;ccw;235,00;00:03:15;215;ccw;;;;;;;;00:03:21;5;ccw;ccw;345;;150;cw;0;150;5;5;-210;0;0;210
19;2;2;20221119;FirstVsSubsequent_20221119_cam2_01;9;cw;55,00;00:04:15;95;cw;;;;;;;;00:04:19;250;cw;cw;325;;155;cw;0;155;250;250;155;0;0;155
