at_run,dance_by,L
1,disrupt,303
1,disrupt,268
1,disrupt,273
1,disrupt,225
1,disrupt,247
1,disrupt,227
1,disrupt,258
1,disrupt,333
1,disrupt,276
1,disrupt,225
1,disrupt,218
1,disrupt,249
1,disrupt,218
1,disrupt,213
10,disrupt,237
10,disrupt,246
10,disrupt,299
10,disrupt,248
10,disrupt,236
10,disrupt,308
10,disrupt,196
10,disrupt,231
10,disrupt,186
10,disrupt,211
10,disrupt,337
10,disrupt,320
10,disrupt,375
4,disrupt,297
4,disrupt,236
4,disrupt,255
4,disrupt,256
4,disrupt,253
4,disrupt,262
4,disrupt,238
4,disrupt,273
4,disrupt,239
4,disrupt,255
4,disrupt,255
4,disrupt,268
4,disrupt,210
1,no,241
1,no,275
1,no,176
1,no,199
1,no,143
1,no,190
1,no,177
1,no,220
1,no,110
1,no,174
1,no,196
1,no,199
10,no,219
10,no,272
10,no,236
10,no,197
10,no,174
10,no,221
10,no,182
10,no,550
10,no,784
10,no,222
10,no,277
10,no,236
10,no,211
10,no,202
4,no,197
4,no,249
4,no,611
4,no,201
4,no,187
4,no,117
4,no,236
4,no,187
4,no,234
4,no,298
4,no,235
4,no,237
4,no,407
1,no,161
1,hold,254
1,no,193
1,no,101
1,no,196
1,hold,270
1,no,124
1,hold,260
1,no,169
1,hold,290
1,no,198
1,no,210
1,no,191
1,hold,256
1,no,288
1,hold,255
1,no,115
1,hold,185
1,hold,225
1,no,155
1,hold,268
1,hold,268
1,no,262
1,no,189
1,hold,270
1,hold,188
1,no,93
1,no,203
1,no,165
1,no,480
1,no,595
