index;run_id;beetle_id;runs_path;file;runs_start;runs_stop;POI;runs_dance;spontaneous_start;spontaneous_end;distance_cm;place;light;dance_by;at_run;condition;calibration_id;start_location;comment
1;1;ID03;;20230111_mirror_dance01_spontaneous_ID03.MTS;00:02:50.86;00:03:25.00;00:02:55.50;;00:02:55.50;00:03:02.8;460;outdoors;shift;no;1;450cm_spontaneous_run01_pre;20230111_mirror_dance01_spontaneous_ID03.MTS;;
2;2;ID09;;20230111_mirror_dance01_dance_ID09.MTS;00:03:50.00;00:03:54.835;;00:03:54.835;;;460;outdoors;shift;hold;1;450cm_dance_run01_pre;20230111_mirror_dance01_dance_ID09.MTS;;
3;2;ID09;;20230111_mirror_dance01_dance_ID09.MTS;00:04:17.90;00:04:34.50;;;;;460;outdoors;shift;hold;1;450cm_dance_run01_post;20230111_mirror_dance01_dance_ID09.MTS;;
4;3;ID15;;20230111_mirror_dance01_midroll_ID15.MTS;00:04:15.263;00:04:53.235;00:04:21.111;;;;460;outdoors;shift;no;1;450cm_midroll_run01;20230111_mirror_dance01_midroll_ID15.MTS;;
5;4;ID17;;20230112_mirror_dance01_midroll_ID17.MTS;00:02:39.789;00:02:58;00:02:41;;;;460;outdoors;shift;no;1;450cm_midroll_run01;20230112_mirror_dance01_midroll_ID17.MTS;;start tracking from POI frame, but use path in sand to track the path a bit before 
6;5;ID29;;20230112_mirror_dance01_spontaneous_ID29.MTS;00:01:50.749;00:02:36.551;00:01:55;;00:02:04.248;00:02:08.387;460;outdoors;shift;no;1;450cm_spontaneous_run01_pre;20230112_mirror_dance01_spontaneous_ID29.MTS;;
7;6;ID36;;20230112_mirror_dance01_midroll_ID36.MTS;00:07:27.595;00:07:55.267;00:07:31.424;;;;460;outdoors;shift;no;1;450cm_midroll_run01;20230112_mirror_dance01_midroll_ID36.MTS;;
8;7;ID38;;20230112_mirror_dance01_dance_ID38.MTS;00:02:47.912;00:02:52.842;;00:02:52.842;;;460;outdoors;shift;hold;1;450cm_dance_run01_pre;20230112_mirror_dance01_dance_ID38.MTS;;
9;7;ID38;;20230112_mirror_dance01_dance_ID38.MTS;00:02:59.951;00:03:12.187;;;;;460;outdoors;shift;hold;1;450cm_dance_run01_post;20230112_mirror_dance01_dance_ID38.MTS;;
10;8;ID44;;20230113_mirror_dance01_dance_ID44.MTS;00:05:18.069;00:05:18.969;;00:05:18.969;;;460;outdoors;shift;hold;1;450cm_dance_run01_pre;20230113_mirror_dance01_dance_ID44.MTS;;start tracking from this time stamp, but use path in sand to track the path a bit before
11;8;ID44;;20230113_mirror_dance01_dance_ID44.MTS;00:05:25.539;00:05:40.147;;;;;460;outdoors;shift;hold;1;450cm_dance_run01_post;20230113_mirror_dance01_dance_ID44.MTS;;
12;9;ID49;;20230113_mirror_dance01_midroll_ID49.MTS;00:02:15.257;00:02:39.520;00:02:20;;;;460;outdoors;shift;no;1;450cm_midroll_run01;20230113_mirror_dance01_midroll_ID49.MTS;;
13;10;ID51;;20230113_mirror_dance01_dance_ID51.MTS;00:02:21.793;00:02:29.716;;00:02:29.716;;;460;outdoors;shift;hold;1;450cm_dance_run01_pre;20230113_mirror_dance01_dance_ID51.MTS;;
14;10;ID51;;20230113_mirror_dance01_dance_ID51.MTS;00:02:42.405;00:02:58;;;;;460;outdoors;shift;hold;1;450cm_dance_run01_post;20230113_mirror_dance01_dance_ID51.MTS;;
15;11;ID55;;20230113_mirror_dance01_spontaneous_ID55.MTS;00:02:34.844;00:02:57.160;00:02:38.169;;00:02:38.465;00:02:41.591;460;outdoors;shift;no;1;450cm_spontaneous_run01_pre;20230113_mirror_dance01_spontaneous_ID55.MTS;;
16;12;ID57;;20230113_mirror_dance01_dance_ID57.MTS;00:03:44.131;00:03:47.820;;00:03:47.820;;;460;outdoors;shift;hold;1;450cm_dance_run01_pre;20230113_mirror_dance01_dance_ID57.MTS;;
17;12;ID57;;20230113_mirror_dance01_dance_ID57.MTS;00:04:08.695;00:04:22;;;;;460;outdoors;shift;hold;1;450cm_dance_run01_post;20230113_mirror_dance01_dance_ID57.MTS;;
18;13;ID05;;20230111_mirror_dance02_spontaneous_ID05.MTS;00:06:52.204;00:07:16;00:06:55.624;;00:06:56.434,00:07:06.331;00:07:00.572,00:07:08;460;outdoors;shift;no;2;450cm_spontaneous_run02_pre;20230111_mirror_dance02_spontaneous_ID05.MTS;;
19;14;ID13;;20230111_mirror_dance02_midroll_ID13.MTS;00:02:51.583;00:03:14.890;00:02:54.734;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230111_mirror_dance02_midroll_ID13.MTS;;
20;15;ID14;;20230111_mirror_dance02_spontaneous_ID14.MTS;00:04:55.756;00:05:19;00:04:58.275;;00:04:59;00:05:00;460;outdoors;shift;no;2;450cm_spontaneous_run02_pre;20230111_mirror_dance02_spontaneous_ID14.MTS;;
21;16;ID25;;20230112_mirror_dance02_dance_ID25.MTS;00:04:29.298;00:04:33.7;;00:04:33.7;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230112_mirror_dance02_dance_ID25.MTS;;
22;16;ID25;;20230112_mirror_dance02_dance_ID25.MTS;00:04:37.845;00:04:53.958;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230112_mirror_dance02_dance_ID25.MTS;;
23;17;ID27;;20230112_mirror_dance02_midroll_ID27.MTS;00:03:14.706;00:03:47.013;00:03:18.485;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230112_mirror_dance02_midroll_ID27.MTS;;
24;18;ID35;;20230112_mirror_dance02_dance_ID35.MTS;00:02:20.357;00:02:25.12;;00:02:25.12;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230112_mirror_dance02_dance_ID35.MTS;;
25;18;ID35;;20230112_mirror_dance02_dance_ID35.MTS;00:02:28.816;00:02:42.673;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230112_mirror_dance02_dance_ID35.MTS;;
26;19;ID40;;20230113_mirror_dance02_midroll_ID40.MTS;00:03:58.806;00:04:29.398;00:04:04.114;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230113_mirror_dance02_midroll_ID40.MTS;;
27;20;ID41;;20230113_mirror_dance02_dance_ID41.MTS;00:03:52.679;00:03:57.177;;00:03:57.177;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230113_mirror_dance02_dance_ID41.MTS;;
28;20;ID41;;20230113_mirror_dance02_dance_ID41.MTS;00:04:00;00:04:14;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230113_mirror_dance02_dance_ID41.MTS;;
29;21;ID47;;20230113_mirror_dance02_dance_ID47.MTS;00:02:24;00:02:29;;00:02:29;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230113_mirror_dance02_dance_ID47.MTS;;
30;21;ID47;;20230113_mirror_dance02_dance_ID47.MTS;00:02:36.376;00:02:57.972;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230113_mirror_dance02_dance_ID47.MTS;;
31;22;ID54;;20230113_mirror_dance02_midroll_ID54.MTS;00:03:04.453;00:03:27.3;00:03:10.392;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230113_mirror_dance02_midroll_ID54.MTS;;
32;23;ID59;;20230113_mirror_dance02_spontaneous_ID59.MTS;00:02:04;00:02:25.8;00:02:07.396;;00:02:09.104,00:02:13.515;00:02:10.7,00:02:15.6;460;outdoors;shift;no;2;450cm_spontaneous_run02_pre;20230113_mirror_dance02_spontaneous_ID59.MTS;;
33;24;ID60;;20230113_mirror_dance02_dance_ID60.MTS;00:01:53;00:01:58;;00:01:58;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230113_mirror_dance02_dance_ID60.MTS;;
34;24;ID60;;20230113_mirror_dance02_dance_ID60.MTS;00:02:03.5;00:02:16.9;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230113_mirror_dance02_dance_ID60.MTS;;
