t,i,j
37.0,460,709
37.04225352112676,460,710
37.08450704225352,460,710
37.12676056338028,459,711
37.16901408450704,459,711
37.2112676056338,459,713
37.25352112676056,458,713
37.29577464788732,458,713
37.33802816901409,459,713
37.38028169014085,459,714
37.42253521126761,460,715
37.46478873239437,460,715
37.50704225352113,460,716
37.54929577464789,459,717
37.59154929577465,456,718
37.63380281690141,453,718
37.67605633802817,450,719
37.71830985915493,448,720
37.76056338028169,448,721
37.80281690140845,447,723
37.84507042253521,447,724
37.88732394366197,448,725
37.929577464788736,448,725
37.971830985915496,448,725
38.014084507042256,447,726
38.056338028169016,446,726
38.098591549295776,445,728
38.140845070422536,445,729
38.183098591549296,445,731
38.225352112676056,446,733
38.267605633802816,446,735
38.309859154929576,447,737
38.352112676056336,449,738
38.394366197183096,449,739
38.436619718309856,450,741
38.478873239436616,451,743
38.521126760563384,454,747
38.563380281690144,456,748
38.605633802816904,459,748
38.647887323943664,460,748
38.690140845070424,461,748
38.732394366197184,461,748
38.774647887323944,461,749
38.816901408450704,460,749
38.859154929577464,459,750
38.901408450704224,459,750
38.943661971830984,459,751
38.985915492957744,459,751
39.028169014084504,458,752
39.070422535211264,458,752
39.11267605633803,457,753
39.15492957746479,456,754
39.19718309859155,454,755
39.23943661971831,452,756
39.28169014084507,452,757
39.32394366197183,452,757
39.36619718309859,452,758
39.40845070422535,452,758
39.45070422535211,451,759
39.49295774647887,451,759
39.53521126760563,452,761
39.57746478873239,452,762
39.61971830985915,451,763
39.66197183098591,450,764
39.70422535211268,448,765
39.74647887323944,445,767
39.7887323943662,441,768
39.83098591549296,439,768
39.87323943661972,438,769
39.91549295774648,438,770
39.95774647887324,439,771
40.0,440,773
40.04225352112676,436,782
40.08450704225352,436,782
40.12676056338028,436,782
40.16901408450704,436,782
40.2112676056338,436,782
40.25352112676056,436,782
40.29577464788732,436,782
40.33802816901409,436,782
40.38028169014085,436,782
40.42253521126761,436,782
40.46478873239437,435,782
40.50704225352113,435,782
40.54929577464789,433,783
40.59154929577465,431,783
40.63380281690141,428,783
40.67605633802817,425,782
40.71830985915493,422,783
40.76056338028169,419,785
40.80281690140845,419,787
40.84507042253521,419,789
40.88732394366197,419,791
40.929577464788736,418,792
40.971830985915496,416,793
41.014084507042256,415,794
41.056338028169016,413,796
41.098591549295776,411,799
41.140845070422536,410,801
41.183098591549296,410,803
41.225352112676056,410,804
41.267605633802816,410,804
41.309859154929576,411,804
41.352112676056336,411,804
41.394366197183096,411,803
41.436619718309856,411,802
41.478873239436616,411,801
41.521126760563384,410,800
41.563380281690144,409,799
41.605633802816904,409,799
41.647887323943664,407,800
41.690140845070424,407,800
41.732394366197184,407,800
41.774647887323944,406,800
41.816901408450704,406,800
41.859154929577464,406,800
41.901408450704224,405,800
41.943661971830984,405,800
41.985915492957744,404,800
42.028169014084504,403,800
