calibs_file,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,n_corners,csv_source,center,blur,comment,temporal_step,only_scale,radial_parameters,row_number,calibs_path,north,type,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20220304_calibration_B08_B11.mov,20220304_calibration_B08_B11.mov,9.0,55.0,9.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,1,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20220304_calibration_B08_B11.mov,2022-03-10T09:37:16.0,,,23.0,1.4822972362045106,0.16190255217185137,0.1713558232145483,0.00026983340480778617
20221221_calibration.MTS,20221221_calibration.MTS,5.0,29.0,11.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,2,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221221_calibration.MTS,2022-12-21T11:23:57.0,,,12.0,0.49313876967034503,0.05280421214933023,0.08268732752889216,5.0764399555993364e-5
20220308_calibration_B01_B05.mov,20220308_calibration_B01_B05.mov,41.0,104.0,103.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,3,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20220308_calibration_B01_B05.mov,2022-03-10T10:09:45.0,,,32.0,1.7211705038512357,0.1756231217683946,0.18477896279378225,0.00041739386312034435
20220318_calibration.mov,20220318_calibration.mov,0.0,73.0,2.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,4,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20220318_calibration.mov,2022-03-21T13:05:23.0,,,37.0,1.5259738808845316,0.15804877152127844,0.1827636725640402,0.0004515765207114026
20220324_calibration.mov,20220324_calibration.mov,9.0,60.0,11.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,5,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20220324_calibration.mov,2022-03-25T11:15:30.0,,,27.0,1.2291129768500926,0.13912246354760058,0.16487832673666397,0.0014495888737753753
20221220_calibration.MTS,20221220_calibration.mov,18.0,39.0,23.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,6,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221220_calibration.MTS,2022-12-20T14:15:23.0,,,10.0,0.5568934150882319,0.061270595106127874,0.1071297339700112,4.8291496915286604e-5
20221222_calibration.MTS,20221222_calibration.MTS,6.0,50.0,8.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,7,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221222_calibration.MTS,2022-12-22T11:16:28.0,,,20.0,0.8162597911843097,0.06987234462502415,0.10469393362114203,8.886842607853804e-5
20230105_calibration.MTS,20230105_calibration.MTS,50.0,92.0,71.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,8,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230105_calibration.MTS,2023-01-05T11:28:37.0,,,15.0,0.7977752098434812,0.08352564130938984,0.14210099314069388,6.254322159450035e-5
20220413_calibration.MTS,20220413_calibration.MTS,23.0,76.0,30.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,9,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20220413_calibration.MTS,2022-04-13T09:06:39.0,,,26.0,1.3573833699442117,0.16575996186814332,0.17871396523118357,0.0003658729092804686
20250407_calibration.MTS,20250407_calibration.MTS,18.0,96.0,22.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,10,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20250407_calibration.MTS,2025-04-07T13:33:58.0,,,38.0,0.7953571103090955,0.06936455974159501,0.0916168507720878,4.920142884403379e-5
20250408_calibration.MTS,20250408_calibration.MTS,14.0,88.0,16.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,11,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20250408_calibration.MTS,2025-04-08T09:39:23.0,,,32.0,0.8458965852733616,0.07202162618525874,0.08120716504109296,6.764151649946098e-5
20250409_calibration.MTS,20250409_calibration.MTS,14.0,94.0,16.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,0,,2.0,,1,12,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20250409_calibration.MTS,2025-04-09T09:19:48.0,,,34.0,1.0239929583075618,0.08339625108452468,0.1060375443288522,6.426889363432691e-5
20221122_outdoors_2.MTS,20221122_outdoors_2.MTS,130.0,143.0,136.0,4.1,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,"(955, 507)",0,,2.0,,1,13,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221122_outdoors_2.MTS,2022-11-21T22:18:05.0,"(507, 955)",,8.0,0.803959771957578,0.11562441869681217,0.21906492797347552,4.084171876886336e-5
20221123_outdoors_calibration1.MTS,20221123_outdoors_calibration1.MTS,1.0,27.0,25.0,4.1,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,"(955, 536)",0,,2.0,,1,14,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221123_outdoors_calibration1.MTS,2022-11-22T21:48:04.0,"(536, 955)",,10.0,0.4098874624796477,0.061756503769073344,0.10180980627009645,3.65971151254468e-5
20221123_outdoors_calibration2.MTS,20221123_outdoors_calibration2.MTS,13.0,32.0,13.9,4.1,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,"(894, 460)",2,,2.0,,1,15,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221123_outdoors_calibration2.MTS,2022-11-23T03:43:32.0,"(460, 894)",,10.0,0.6498335799218043,0.0960724631092829,0.16745067054339133,3.297804544751839e-5
20221125_outdoors_1.MTS,20221125_outdoors_1.MTS,17.0,50.0,30.5,4.1,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,"(890, 540)",2,,2.0,,1,16,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20221125_outdoors_1.MTS,2022-11-24T21:01:19.0,"(540, 890)",,16.0,0.7109802665510013,0.08597533580797649,0.1370395279532177,4.401262676923909e-5
20241118_outdoors_50cm_calib.MTS,20241118_outdoors_50cm_calib.MTS,34.0,72.0,38.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,"(953, 463)",0,,2.0,,1,17,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20241118_outdoors_50cm_calib.MTS,2024-11-18T20:38:30.0,"(463, 715)",,19.0,3.2059934862666006,0.33336665376286123,0.26092450531570954,0.0002582513383326599
20241119_outdoors_50cm_calib.MTS,20241119_outdoors_50cm_calib.MTS,16.0,55.0,24.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,"(1076, 470)",0,,2.0,,1,18,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20241119_outdoors_50cm_calib.MTS,2024-11-19T02:36:24.0,"(470, 807)",,18.0,4.532067525920735,0.43705023702829743,0.3275602480489515,0.00018654809795185407
20230111_mirror_dance01_spontaneous_ID03.MTS,20230111_mirror_dance01_spontaneous_ID03.MTS,279.0,307.8,279.835,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,19,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230111_mirror_dance01_spontaneous_ID03.MTS,2023-01-11T08:52:27.0,,,13.0,0.49531540132233765,0.05685419300245283,0.08668756663084037,2.160625178356822e-13
20230111_mirror_dance01_dance_ID09.MTS,20230111_mirror_dance01_dance_ID09.MTS,349.213,379.625,350.201,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,20,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230111_mirror_dance01_dance_ID09.MTS,2023-01-11T14:53:21.0,,,11.0,0.6014825482255415,0.06844536038931401,0.10771634134082127,2.4951724044225276e-13
20230111_mirror_dance01_midroll_ID15.MTS,20230111_mirror_dance01_midroll_ID15.MTS,363.781,398.064,366.3,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,21,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230111_mirror_dance01_midroll_ID15.MTS,2023-01-11T16:13:45.0,,,16.0,0.9964241075971777,0.12756676717811016,0.1795645610864762,1.9402370912755918e-13
20230112_mirror_dance01_midroll_ID17.MTS,20230112_mirror_dance01_midroll_ID17.MTS,287.112,318.426,301.061,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,22,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance01_midroll_ID17.MTS,2023-01-12T08:31:34.0,,,15.0,0.6176399941062944,0.07613518998557713,0.1234844173028621,2.052406925320299e-13
20230112_mirror_dance01_spontaneous_ID29.MTS,20230112_mirror_dance01_spontaneous_ID29.MTS,174.457,205.052,183.005,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,23,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance01_spontaneous_ID29.MTS,2023-01-12T14:54:32.0,,,12.0,1.4815245371061103,0.19276243671724202,0.3599227566771047,1.9678142939358692e-13
20230112_mirror_dance01_midroll_ID36.MTS,20230112_mirror_dance01_midroll_ID36.MTS,533.396,564.802,543.0,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,24,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance01_midroll_ID36.MTS,2023-01-12T15:57:38.0,,,17.0,1.0572458068498372,0.13518175438437002,0.25050238339660047,2.2866985613870134e-13
20230112_mirror_dance01_dance_ID38.MTS,20230112_mirror_dance01_dance_ID38.MTS,237.002,259.229,238.0,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,25,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance01_dance_ID38.MTS,2023-01-12T16:17:20.0,,,13.0,0.5855438918972085,0.07553577490161788,0.12478125403215694,2.000172704356217e-13
20230113_mirror_dance01_dance_ID44.MTS,20230113_mirror_dance01_dance_ID44.MTS,378.987,397.526,382.319,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,26,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance01_dance_ID44.MTS,2023-01-13T09:23:33.0,,,11.0,0.5341984315421339,0.05671575019846138,0.0925112498718586,1.775845174940208e-13
20230113_mirror_dance01_midroll_ID49.MTS,20230113_mirror_dance01_midroll_ID49.MTS,199.0,223.0,200.0,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,27,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance01_midroll_ID49.MTS,2023-01-13T14:35:40.0,,,13.0,0.7292388727984144,0.06234251892409434,0.09636935161426441,2.1467184634837528e-13
20230113_mirror_dance01_dance_ID51.MTS,20230113_mirror_dance01_dance_ID51.MTS,201.255,225.0,205.776,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,28,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance01_dance_ID51.MTS,2023-01-13T14:54:49.0,,,10.0,1.102832248396401,0.11800113116471067,0.20271745658193632,2.026290488077841e-13
20230113_mirror_dance01_spontaneous_ID55.MTS,20230113_mirror_dance01_spontaneous_ID55.MTS,206.0,230.8,212.79,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,29,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance01_spontaneous_ID55.MTS,2023-01-13T15:32:14.0,,,12.0,1.0062950874063825,0.10971461143661757,0.16533474689970273,2.14082961356832e-13
20230113_mirror_dance01_dance_ID57.MTS,20230113_mirror_dance01_dance_ID57.MTS,294.137,309.344,298.186,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,30,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance01_dance_ID57.MTS,2023-01-13T15:48:56.0,,,5.0,0.631502703884338,0.06779293716723866,0.09067826326348045,2.9259732295295927e-13
20230111_mirror_dance02_spontaneous_ID05.MTS,20230111_mirror_dance02_spontaneous_ID05.MTS,494.269,522.256,495.528,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,31,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230111_mirror_dance02_spontaneous_ID05.MTS,2023-01-11T09:17:14.0,,,12.0,0.5663922535301077,0.06379483629777377,0.10352486023664499,2.1748334646572358e-13
20230111_mirror_dance02_midroll_ID13.MTS,20230111_mirror_dance02_midroll_ID13.MTS,284.873,309.0,285.501,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,32,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230111_mirror_dance02_midroll_ID13.MTS,2023-01-11T15:48:44.0,,,12.0,0.6301342283884639,0.06793891684792164,0.10996615376838931,2.4595318168990307e-13
20230111_mirror_dance02_spontaneous_ID14.MTS,20230111_mirror_dance02_spontaneous_ID14.MTS,349.0,399.0,350.0,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,33,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230111_mirror_dance02_spontaneous_ID14.MTS,2023-01-11T15:58:47.0,,,23.0,0.5700402901687038,0.07402127933626591,0.1405571840323246,2.1376254017014494e-13
20230112_mirror_dance02_dance_ID25.MTS,20230112_mirror_dance02_dance_ID25.MTS,340.0,375.0,341.372,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,34,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance02_dance_ID25.MTS,2023-01-12T10:06:03.0,,,9.0,0.719228157670408,0.08822489039411471,0.1282754762598269,2.628218511805805e-13
20230112_mirror_dance02_midroll_ID27.MTS,20230112_mirror_dance02_midroll_ID27.MTS,253.6,277.039,255.354,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,35,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance02_midroll_ID27.MTS,2023-01-12T14:38:01.0,,,13.0,0.5703272154289467,0.07283812388745149,0.10829973889705521,2.519428024995113e-13
20230112_mirror_dance02_dance_ID35.MTS,20230112_mirror_dance02_dance_ID35.MTS,199.0,219.0,200.0,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,36,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230112_mirror_dance02_dance_ID35.MTS,2023-01-12T15:49:38.0,,,11.0,0.5507964428464216,0.06366370755026572,0.09247104835525072,1.7568872061349547e-13
20230113_mirror_dance02_midroll_ID40.MTS,20230113_mirror_dance02_midroll_ID40.MTS,299.0,319.0,303.858,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,37,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance02_midroll_ID40.MTS,2023-01-13T08:36:28.0,,,10.0,0.6884165437548078,0.07932298812498483,0.12549050724939398,2.4867940065703507e-13
20230113_mirror_dance02_dance_ID41.MTS,20230113_mirror_dance02_dance_ID41.MTS,282.0,304.0,284.323,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,38,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance02_dance_ID41.MTS,2023-01-13T08:45:52.0,,,12.0,0.5829787724160648,0.06828194069895793,0.11331861486010106,2.3303490910285887e-13
20230113_mirror_dance02_dance_ID47.MTS,20230113_mirror_dance02_dance_ID47.MTS,208.0,232.0,212.345,3.9,"(4, 6)",/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/calibs.csv,,1,,2.0,,0,39,.,,video,/home/yakir/mnt/Data/Elin/AllotheticVsIdiothetic/./20230113_mirror_dance02_dance_ID47.MTS,2023-01-13T10:08:39.0,,,13.0,0.8051507260989175,0.07911244165500704,0.11131912492918473,2.2309753767630584e-13
