t,i,j
23.0,482,764
23.041666666666668,484,763
23.083333333333332,485,763
23.125,487,763
23.166666666666668,489,764
23.208333333333332,490,765
23.25,490,765
23.291666666666668,490,765
23.333333333333332,490,765
23.375,491,765
23.416666666666668,491,765
23.458333333333332,492,766
23.5,492,766
23.541666666666668,493,766
23.583333333333332,494,766
23.625,495,766
23.666666666666668,496,766
23.708333333333332,497,766
23.75,497,766
23.791666666666668,498,766
23.833333333333332,498,765
23.875,498,766
23.916666666666668,499,767
23.958333333333332,499,768
24.0,500,769
24.041666666666668,502,771
24.083333333333332,503,773
24.125,502,774
24.166666666666668,502,774
24.208333333333332,503,774
24.25,504,774
24.291666666666668,505,774
24.333333333333332,506,774
24.375,506,774
24.416666666666668,506,774
24.458333333333332,506,774
24.5,507,775
24.541666666666668,507,775
24.583333333333332,508,775
24.625,509,776
24.666666666666668,509,776
24.708333333333332,510,777
24.75,510,777
24.791666666666668,510,778
24.833333333333332,511,779
24.875,512,779
24.916666666666668,513,779
24.958333333333332,515,779
25.0,517,779
25.041666666666668,518,779
25.083333333333332,518,779
25.125,518,779
25.166666666666668,519,780
25.208333333333332,519,781
25.25,519,781
25.291666666666668,519,782
25.333333333333332,518,783
25.375,517,785
25.416666666666668,516,786
25.458333333333332,515,787
25.5,516,788
25.541666666666668,516,789
25.583333333333332,517,789
25.625,517,790
25.666666666666668,518,790
25.708333333333332,518,790
25.75,518,791
25.791666666666668,518,791
25.833333333333332,518,791
25.875,519,792
25.916666666666668,519,792
25.958333333333332,520,793
26.0,520,793
26.041666666666668,521,794
26.083333333333332,522,795
26.125,523,797
26.166666666666668,523,798
26.208333333333332,522,800
26.25,521,802
26.291666666666668,519,804
26.333333333333332,519,806
26.375,517,807
26.416666666666668,517,808
26.458333333333332,516,809
26.5,515,811
26.541666666666668,515,813
26.583333333333332,515,814
26.625,513,815
26.666666666666668,511,815
26.708333333333332,511,816
26.75,512,816
26.791666666666668,513,816
26.833333333333332,514,815
26.875,514,816
26.916666666666668,514,816
26.958333333333332,514,816
27.0,514,815
27.041666666666668,514,815
27.083333333333332,514,815
27.125,514,816
27.166666666666668,514,816
27.208333333333332,514,817
27.25,513,817
27.291666666666668,513,818
27.333333333333332,512,819
27.375,512,820
27.416666666666668,511,821
27.458333333333332,511,822
27.5,511,825
27.541666666666668,510,827
27.583333333333332,510,827
27.625,510,827
27.666666666666668,511,827
27.708333333333332,510,827
27.75,510,827
27.791666666666668,510,827
27.833333333333332,510,827
27.875,510,827
27.916666666666668,510,827
27.958333333333332,510,828
28.0,510,828
28.041666666666668,510,828
28.083333333333332,510,829
28.125,511,829
28.166666666666668,512,830
28.208333333333332,513,831
28.25,513,833
28.291666666666668,513,834
28.333333333333332,514,835
28.375,514,835
