calibs_file,calibs_path,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,n_corners,csv_source,row_number,temporal_step,north,center,radial_parameters,blur,type,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20220304_calibration_B08_B11.mov,2022_02_LU_AllotheticVsIdiothetic_shift_midroll_run01,20220304_calibration_B08_B11.mov,9.0,55.0,9.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,1,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_shift_midroll_run01/20220304_calibration_B08_B11.mov,2022-03-10T09:37:16.0,,,23.0,1.4822972362045106,0.16190255217185137,0.1713558232145483,0.0003216750188262847
20221221_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20221221_calibration.MTS,5.0,29.0,11.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,2,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20221221_calibration.MTS,2022-12-21T11:23:57.0,,,12.0,0.49313876967034503,0.05280421214933023,0.08268732752889216,0.00012145393365902385
20220308_calibration_B01_B05.mov,2022_02_LU_AllotheticVsIdiothetic_shift_dance_run01,20220308_calibration_B01_B05.mov,41.0,104.0,103.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,3,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_shift_dance_run01/20220308_calibration_B01_B05.mov,2022-03-10T10:09:45.0,,,32.0,1.7211705038512357,0.1756231217683946,0.18477896279378225,0.0004835539003419526
20220318_calibration.mov,2022_02_LU_AllotheticVsIdiothetic_dark_dance,20220318_calibration.mov,0.0,73.0,2.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,4,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_dark_dance/20220318_calibration.mov,2022-03-21T13:05:23.0,,,37.0,1.5259738808845316,0.15804877152127844,0.1827636725640402,0.000531832328948524
20220324_calibration.mov,2022_02_LU_AllotheticVsIdiothetic_dark_dance,20220324_calibration.mov,9.0,60.0,11.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,5,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_dark_dance/20220324_calibration.mov,2022-03-25T11:15:30.0,,,27.0,1.2291129768500926,0.13912246354760058,0.16487832673666397,0.0011378152532644703
20221220_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20221220_calibration.mov,18.0,39.0,23.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,6,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20221220_calibration.MTS,2022-12-20T14:15:23.0,,,10.0,0.5568934150882319,0.061270595106127874,0.1071297339700112,5.372700442767199e-5
20221222_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20221222_calibration.MTS,6.0,50.0,8.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,7,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20221222_calibration.MTS,2022-12-22T11:16:28.0,,,20.0,0.8162597911843097,0.06987234462502415,0.10469393362114203,5.4850603997949744e-5
20230105_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20230105_calibration.MTS,50.0,92.0,71.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,8,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20230105_calibration.MTS,2023-01-05T11:28:37.0,,,15.0,0.7977752098434812,0.08352564130938984,0.14210099314069388,8.203181730027001e-5
20220413_calibration.MTS,2022_02_LU_AllotheticVsIdiothetic_dark_midroll_run01,20220413_calibration.MTS,23.0,76.0,30.0,3.9,"(5, 8)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,9,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_dark_midroll_run01/20220413_calibration.MTS,2022-04-13T09:06:39.0,,,26.0,1.3573833699442117,0.16575996186814332,0.17871396523118357,0.00030720698538196523
20250407_calibration.MTS,2025_04_LU_AllotheticVsIdiothetic,20250407_calibration.MTS,18.0,96.0,22.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,10,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2025_04_LU_AllotheticVsIdiothetic/20250407_calibration.MTS,2025-04-07T13:33:58.0,,,38.0,0.7953571103090955,0.06936455974159501,0.0916168507720878,9.16611091457353e-5
20250408_calibration.MTS,2025_04_LU_AllotheticVsIdiothetic,20250408_calibration.MTS,14.0,88.0,16.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,11,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2025_04_LU_AllotheticVsIdiothetic/20250408_calibration.MTS,2025-04-08T09:39:23.0,,,32.0,0.8458965852733616,0.07202162618525874,0.08120716504109296,5.279133654991515e-5
20250409_calibration.MTS,2025_04_LU_AllotheticVsIdiothetic,20250409_calibration.MTS,14.0,94.0,16.0,4.0,"(6, 9)",/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/calibs.csv,12,2.0,,,1,0,video,/home/yakir/mnt/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2025_04_LU_AllotheticVsIdiothetic/20250409_calibration.MTS,2025-04-09T09:19:48.0,,,34.0,1.0239929583075618,0.08339625108452468,0.1060375443288522,5.918199665138254e-5
