t,i,j
47.0,531,873
47.04225352112676,531,873
47.08450704225352,532,873
47.12676056338028,532,873
47.16901408450704,534,872
47.2112676056338,536,871
47.25352112676056,537,871
47.29577464788732,538,871
47.33802816901409,540,871
47.38028169014085,542,870
47.42253521126761,544,869
47.46478873239437,545,868
47.50704225352113,546,867
47.54929577464789,547,866
47.59154929577465,547,866
47.63380281690141,549,865
47.67605633802817,550,865
47.71830985915493,552,864
47.76056338028169,555,864
47.80281690140845,557,864
47.84507042253521,559,863
47.88732394366197,560,864
47.929577464788736,562,865
47.971830985915496,563,865
48.014084507042256,565,864
48.056338028169016,566,863
48.098591549295776,566,863
48.140845070422536,566,863
48.183098591549296,568,862
48.225352112676056,568,862
48.267605633802816,569,860
48.309859154929576,569,858
48.352112676056336,569,858
48.394366197183096,570,857
48.436619718309856,571,857
48.478873239436616,571,857
48.521126760563384,572,857
48.563380281690144,573,857
48.605633802816904,573,857
48.647887323943664,574,856
48.690140845070424,574,856
48.732394366197184,574,856
48.774647887323944,574,857
48.816901408450704,576,857
48.859154929577464,577,857
48.901408450704224,578,857
48.943661971830984,580,856
48.985915492957744,582,856
49.028169014084504,585,855
49.070422535211264,587,856
49.11267605633803,591,855
49.15492957746479,592,854
49.19718309859155,595,851
49.23943661971831,596,849
49.28169014084507,596,849
49.32394366197183,597,848
49.36619718309859,597,849
49.40845070422535,595,849
49.45070422535211,594,849
49.49295774647887,595,849
49.53521126760563,595,849
49.57746478873239,595,849
49.61971830985915,595,849
49.66197183098591,596,849
49.70422535211268,616,856
49.74647887323944,617,857
49.7887323943662,617,857
49.83098591549296,617,858
49.87323943661972,617,858
49.91549295774648,617,858
49.95774647887324,617,858
50.0,617,858
50.04225352112676,617,857
50.08450704225352,617,857
50.12676056338028,617,857
50.16901408450704,617,857
50.2112676056338,617,855
50.25352112676056,617,855
50.29577464788732,616,854
50.33802816901409,616,855
50.38028169014085,615,854
50.42253521126761,614,854
50.46478873239437,614,853
50.50704225352113,613,851
50.54929577464789,612,848
50.59154929577465,612,847
50.63380281690141,613,846
50.67605633802817,612,843
50.71830985915493,613,842
50.76056338028169,613,840
50.80281690140845,612,838
50.84507042253521,612,838
50.88732394366197,612,838
50.929577464788736,611,838
50.971830985915496,609,837
51.014084507042256,608,836
51.056338028169016,607,835
51.098591549295776,606,835
51.140845070422536,605,834
51.183098591549296,604,834
51.225352112676056,601,833
51.267605633802816,601,834
51.309859154929576,600,834
51.352112676056336,599,834
51.394366197183096,600,835
51.436619718309856,599,833
51.478873239436616,599,832
51.521126760563384,599,830
51.563380281690144,598,829
51.605633802816904,598,828
51.647887323943664,599,828
51.690140845070424,598,827
51.732394366197184,597,826
51.774647887323944,595,825
51.816901408450704,594,824
51.859154929577464,592,823
51.901408450704224,591,822
51.943661971830984,591,822
51.985915492957744,590,821
52.028169014084504,589,820
52.070422535211264,589,819
52.11267605633803,590,817
52.15492957746479,590,814
52.19718309859155,591,814
52.23943661971831,589,813
52.28169014084507,589,813
52.32394366197183,588,812
52.36619718309859,588,812
52.40845070422535,588,812
52.45070422535211,587,812
52.49295774647887,587,812
52.53521126760563,586,813
52.57746478873239,584,812
52.61971830985915,584,812
52.66197183098591,582,811
52.70422535211268,580,810
52.74647887323944,580,810
52.7887323943662,579,809
52.83098591549296,579,809
52.87323943661972,579,809
52.91549295774648,579,809
52.95774647887324,579,809
53.0,578,808
53.04225352112676,578,808
53.08450704225352,579,808
53.12676056338028,579,807
53.16901408450704,579,806
53.2112676056338,578,805
53.25352112676056,575,802
53.29577464788732,574,801
53.33802816901409,574,799
53.38028169014085,572,796
53.42253521126761,572,796
53.46478873239437,571,796
53.50704225352113,571,797
53.54929577464789,571,797
53.59154929577465,570,797
53.63380281690141,571,798
53.67605633802817,571,797
