t,i,j
149.714,589,780
149.7563181818182,589,780
149.79863636363638,589,780
149.84095454545454,589,780
149.88327272727273,589,780
149.92559090909091,589,780
149.9679090909091,589,780
150.01022727272726,589,780
150.05254545454545,589,780
150.09486363636364,589,780
150.13718181818183,589,780
150.1795,589,780
150.22181818181818,589,780
150.26413636363637,589,780
150.30645454545456,589,780
150.34877272727272,589,780
150.3910909090909,589,780
150.4334090909091,589,780
150.47572727272728,589,780
150.51804545454544,589,780
150.56036363636363,589,780
150.60268181818182,589,780
150.645,589,780
150.68731818181817,589,780
150.72963636363636,589,780
150.77195454545455,589,780
150.81427272727274,589,780
150.8565909090909,589,780
150.8989090909091,589,780
150.94122727272728,589,780
150.98354545454546,589,780
151.02586363636362,589,780
151.0681818181818,589,780
151.1105,589,780
151.1528181818182,589,780
151.19513636363635,589,780
151.23745454545454,589,780
151.27977272727273,589,780
151.32209090909092,589,780
151.36440909090908,589,780
151.40672727272727,589,780
151.44904545454546,589,780
151.49136363636364,589,780
151.5336818181818,589,780
151.576,589,780
151.61831818181818,589,780
151.66063636363637,589,780
151.70295454545453,589,780
151.74527272727272,589,780
151.7875909090909,589,780
151.8299090909091,589,780
151.8722272727273,589,780
151.91454545454545,589,780
151.95686363636364,589,780
151.99918181818182,589,780
152.0415,589,780
152.08381818181817,589,780
152.12613636363636,589,780
152.16845454545455,589,780
152.21077272727274,589,780
152.2530909090909,589,780
152.2954090909091,589,780
152.33772727272728,589,780
152.38004545454547,589,780
152.42236363636363,589,780
152.46468181818182,589,780
152.507,589,780
152.5493181818182,589,780
152.59163636363635,589,780
152.63395454545454,589,780
152.67627272727273,589,780
152.71859090909092,589,780
152.76090909090908,589,780
152.80322727272727,589,780
152.84554545454546,589,780
152.88786363636365,589,780
152.9301818181818,589,780
152.9725,589,780
153.01481818181819,589,780
153.05713636363637,589,780
153.09945454545453,589,780
153.14177272727272,589,780
153.1840909090909,589,780
153.2264090909091,589,780
153.26872727272726,589,780
153.31104545454545,589,780
153.35336363636364,589,780
153.39568181818183,589,780
153.438,589,780
153.48031818181818,589,779
153.52263636363637,589,779
153.56495454545455,589,779
153.60727272727271,589,779
153.6495909090909,589,779
153.6919090909091,589,779
153.73422727272728,589,779
153.77654545454544,589,779
153.81886363636363,589,779
153.86118181818182,589,779
153.9035,589,779
153.94581818181817,589,779
153.98813636363636,589,779
154.03045454545455,589,779
154.07277272727273,589,779
154.1150909090909,589,779
154.15740909090908,589,779
154.19972727272727,589,779
154.24204545454546,589,779
154.28436363636362,589,779
154.3266818181818,589,779
154.369,589,779
154.4113181818182,589,779
154.45363636363638,589,779
154.49595454545454,589,779
154.53827272727273,589,779
154.58059090909092,589,779
154.6229090909091,589,779
154.66522727272726,589,779
154.70754545454545,589,779
154.74986363636364,589,779
154.79218181818183,589,779
154.8345,589,780
154.87681818181818,589,780
154.91913636363637,589,780
154.96145454545456,589,780
155.00377272727272,589,780
155.0460909090909,589,780
155.0884090909091,589,780
155.13072727272728,589,780
155.17304545454544,589,780
155.21536363636363,589,780
155.25768181818182,589,780
155.3,589,780
155.34231818181817,589,780
155.38463636363636,589,780
155.42695454545455,589,780
155.46927272727274,589,780
155.5115909090909,589,780
155.5539090909091,589,780
155.59622727272728,589,780
155.63854545454546,589,780
155.68086363636363,589,780
155.7231818181818,589,780
155.7655,589,780
155.8078181818182,589,780
155.85013636363635,589,780
155.89245454545454,589,780
155.93477272727273,589,780
155.97709090909092,589,780
156.01940909090908,589,780
156.06172727272727,589,780
156.10404545454546,589,780
156.14636363636365,589,780
156.1886818181818,589,780
156.231,589,780
156.27331818181818,589,780
156.31563636363637,589,780
156.35795454545453,589,780
156.40027272727272,589,780
156.4425909090909,589,780
156.4849090909091,589,780
156.52722727272726,589,780
156.56954545454545,589,780
156.61186363636364,589,780
156.65418181818183,589,780
156.6965,589,780
156.73881818181817,589,780
156.78113636363636,589,780
156.82345454545455,589,780
156.86577272727274,589,780
156.9080909090909,589,780
156.9504090909091,589,780
156.99272727272728,589,780
157.03504545454547,589,780
157.07736363636363,589,780
157.11968181818182,589,780
157.162,589,780
157.2043181818182,589,780
157.24663636363636,589,780
157.28895454545454,589,779
157.33127272727273,589,779
157.37359090909092,589,779
157.41590909090908,589,779
157.45822727272727,589,779
157.50054545454546,589,779
157.54286363636365,589,779
157.5851818181818,589,779
157.6275,589,779
157.6698181818182,589,779
157.71213636363638,589,780
157.75445454545454,589,779
157.79677272727272,588,780
157.8390909090909,589,779
157.8814090909091,589,779
157.92372727272726,588,780
157.96604545454545,589,779
158.00836363636364,589,779
158.05068181818183,589,779
158.093,589,779
158.13531818181818,589,779
158.17763636363637,588,779
158.21995454545456,589,779
158.26227272727272,588,779
158.3045909090909,589,779
158.3469090909091,589,779
158.38922727272728,588,779
158.43154545454544,589,779
158.47386363636363,589,779
158.51618181818182,588,779
158.5585,589,779
158.60081818181817,589,779
158.64313636363636,588,779
158.68545454545455,589,779
158.72777272727274,589,779
158.7700909090909,589,779
158.81240909090909,589,779
158.85472727272727,588,780
158.89704545454546,589,779
158.93936363636362,589,780
158.9816818181818,588,780
159.024,589,779
159.0663181818182,589,779
159.10863636363635,589,779
159.15095454545454,589,779
159.19327272727273,589,779
159.23559090909092,589,779
159.27790909090908,589,780
159.32022727272727,589,779
159.36254545454545,589,779
159.40486363636364,589,779
159.44718181818183,589,779
159.4895,589,779
159.53181818181818,589,779
159.57413636363637,589,779
159.61645454545456,589,780
159.65877272727272,589,780
159.7010909090909,589,779
159.7434090909091,589,779
159.78572727272729,589,779
159.82804545454545,589,780
159.87036363636363,589,779
159.91268181818182,589,779
159.955,589,779
159.99731818181817,589,779
160.03963636363636,589,779
160.08195454545455,589,779
160.12427272727274,589,779
160.1665909090909,589,779
160.2089090909091,589,779
160.25122727272728,589,779
160.29354545454547,589,779
160.33586363636363,589,779
160.37818181818182,589,779
160.4205,589,779
160.4628181818182,589,779
160.50513636363635,589,779
160.54745454545454,589,779
160.58977272727273,589,779
160.63209090909092,589,779
160.67440909090908,589,779
160.71672727272727,589,779
160.75904545454546,589,779
160.80136363636365,589,779
160.8436818181818,589,779
160.886,588,779
160.92831818181818,589,779
160.97063636363637,589,779
161.01295454545453,589,779
161.05527272727272,589,779
161.0975909090909,588,780
161.1399090909091,588,780
161.18222727272726,589,779
161.22454545454545,589,779
161.26686363636364,589,779
161.30918181818183,589,779
161.3515,589,779
161.39381818181818,588,780
161.43613636363636,588,780
161.47845454545455,588,780
161.5207727272727,589,779
161.5630909090909,589,779
161.6054090909091,589,779
161.64772727272728,589,779
161.69004545454544,589,779
161.73236363636363,589,779
161.77468181818182,589,779
161.817,589,779
161.85931818181817,589,779
161.90163636363636,589,779
161.94395454545455,589,779
161.98627272727273,589,779
162.02859090909092,589,779
162.07090909090908,589,779
162.11322727272727,589,779
162.15554545454546,589,779
162.19786363636365,589,779
162.2401818181818,589,779
162.2825,589,779
162.3248181818182,589,779
162.36713636363638,589,779
162.40945454545454,589,779
162.45177272727273,589,779
162.49409090909091,589,779
162.5364090909091,589,779
162.57872727272726,589,779
162.62104545454545,589,779
162.66336363636364,589,779
162.70568181818183,589,779
162.748,589,779
162.79031818181818,589,779
162.83263636363637,589,779
