calibs_file,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,comment,temporal_step,with_distortion,csv_source,row_number,n_corners,calibs_path,north,center,blur,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20230111_mirror_dance01_spontaneous_ID03.MTS,20230111_mirror_dance01_spontaneous_ID03.MTS,279.0,307.8,279.835,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,1,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230111_mirror_dance01_spontaneous_ID03.MTS,2023-01-11T08:52:27.0,,,13.0,0.8290029838527663,0.094997780353308,0.12206569298313757,4.805773972359547e-13
20230111_mirror_dance01_dance_ID09.MTS,20230111_mirror_dance01_dance_ID09.MTS,349.213,379.625,350.201,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,2,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230111_mirror_dance01_dance_ID09.MTS,2023-01-11T14:53:21.0,,,11.0,0.6876439120673604,0.07656934644977655,0.11841593380808849,3.741571118401208e-13
20230111_mirror_dance01_midroll_ID15.MTS,20230111_mirror_dance01_midroll_ID15.MTS,363.781,398.064,366.3,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,3,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230111_mirror_dance01_midroll_ID15.MTS,2023-01-11T16:13:45.0,,,14.0,0.9724383518879849,0.1274395554477172,0.17637171268118695,1.6301038594881826e-12
20230112_mirror_dance01_midroll_ID17.MTS,20230112_mirror_dance01_midroll_ID17.MTS,287.112,318.426,301.061,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,4,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_midroll_ID17.MTS,2023-01-12T08:31:34.0,,,15.0,1.391436677771902,0.16667159801947923,0.19966159845783774,8.361466101870523e-13
20230112_mirror_dance01_spontaneous_ID29.MTS,20230112_mirror_dance01_spontaneous_ID29.MTS,174.457,205.052,183.005,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,5,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_spontaneous_ID29.MTS,2023-01-12T14:54:32.0,,,10.0,0.9640307483019802,0.12307586584249064,0.1884802346048092,5.664083760471456e-13
20230112_mirror_dance01_midroll_ID36.MTS,20230112_mirror_dance01_midroll_ID36.MTS,533.396,564.802,543.0,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,6,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_midroll_ID36.MTS,2023-01-12T15:57:38.0,,,15.0,1.0088846228782051,0.1166876686899169,0.1711110220387708,5.669276585965353e-13
20230112_mirror_dance01_dance_ID38.MTS,20230112_mirror_dance01_dance_ID38.MTS,237.002,259.229,238.0,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,7,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_dance_ID38.MTS,2023-01-12T16:17:20.0,,,13.0,0.624837750189097,0.07858207234652707,0.1150243838286933,1.0043168766775157e-12
20230113_mirror_dance01_dance_ID44.MTS,20230113_mirror_dance01_dance_ID44.MTS,378.987,397.526,382.319,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,8,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance01_dance_ID44.MTS,2023-01-13T09:23:33.0,,,11.0,0.5286683550505474,0.05583996811291373,0.0916061970677616,3.597511852074404e-13
20230113_mirror_dance01_midroll_ID49.MTS,20230113_mirror_dance01_midroll_ID49.MTS,199.0,223.0,200.0,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,9,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance01_midroll_ID49.MTS,2023-01-13T14:35:40.0,,,13.0,0.6468722777690288,0.05961042705490598,0.09480807498045997,3.2788447275484605e-13
20230113_mirror_dance01_dance_ID51.MTS,20230113_mirror_dance01_dance_ID51.MTS,201.255,225.0,205.776,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,10,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance01_dance_ID51.MTS,2023-01-13T14:54:49.0,,,10.0,3.3216620940531887,0.17288251540856156,0.21327262350579312,2.193951893801525e-12
