run_id,index,beetle_id,runs_dance,spontaneous_start,spontaneous_end,distance_cm,place,light,dance_by,at_run,condition,calibration_id,comment,row_number,target_width,runs_path,window_size,fps,runs_fullfile,runs_recording_datetime,start_datetime,poi,runs_file,start,stop,start_location,tij_file
1,1,ID03,,00:02:55.50,00:03:02.8,460,outdoors,shift,no,1,450cm_spontaneous_run01_pre,20230111_mirror_dance01_spontaneous_ID03.MTS,,1,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230111_mirror_dance01_spontaneous_ID03.MTS,2023-01-11T08:52:27.0,2023-01-11T08:55:18.0,175.5,20230111_mirror_dance01_spontaneous_ID03.MTS,170.86,205.0,,1.csv
2,2,ID09,00:03:54.835,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230111_mirror_dance01_dance_ID09.MTS,,2,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230111_mirror_dance01_dance_ID09.MTS,2023-01-11T14:53:21.0,2023-01-11T14:57:11.0,234.835,"[""20230111_mirror_dance01_dance_ID09.MTS"", ""20230111_mirror_dance01_dance_ID09.MTS""]","[230.0, 257.9]","[234.835, 274.5]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",2.csv
3,4,ID15,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20230111_mirror_dance01_midroll_ID15.MTS,,4,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230111_mirror_dance01_midroll_ID15.MTS,2023-01-11T16:13:45.0,2023-01-11T16:18:00.0,261.111,20230111_mirror_dance01_midroll_ID15.MTS,255.263,293.235,,3.csv
4,5,ID17,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20230112_mirror_dance01_midroll_ID17.MTS,"start tracking from POI frame, but use path in sand to track the path a bit before",5,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_midroll_ID17.MTS,2023-01-12T08:31:34.0,2023-01-12T08:34:14.0,161.0,20230112_mirror_dance01_midroll_ID17.MTS,159.789,178.0,,4.csv
5,6,ID29,,00:02:04.248,00:02:08.387,460,outdoors,shift,no,1,450cm_spontaneous_run01_pre,20230112_mirror_dance01_spontaneous_ID29.MTS,,6,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_spontaneous_ID29.MTS,2023-01-12T14:54:32.0,2023-01-12T14:56:23.0,115.0,20230112_mirror_dance01_spontaneous_ID29.MTS,110.749,156.551,,5.csv
6,7,ID36,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20230112_mirror_dance01_midroll_ID36.MTS,,7,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_midroll_ID36.MTS,2023-01-12T15:57:38.0,2023-01-12T16:05:06.0,451.424,20230112_mirror_dance01_midroll_ID36.MTS,447.595,475.267,,6.csv
7,8,ID38,00:02:52.842,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230112_mirror_dance01_dance_ID38.MTS,,8,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance01_dance_ID38.MTS,2023-01-12T16:17:20.0,2023-01-12T16:20:08.0,172.842,"[""20230112_mirror_dance01_dance_ID38.MTS"", ""20230112_mirror_dance01_dance_ID38.MTS""]","[167.912, 179.951]","[172.842, 192.187]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",7.csv
8,10,ID44,00:05:18.969,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230113_mirror_dance01_dance_ID44.MTS,"start tracking from this time stamp, but use path in sand to track the path a bit before",10,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance01_dance_ID44.MTS,2023-01-13T09:23:33.0,2023-01-13T09:28:51.0,318.969,"[""20230113_mirror_dance01_dance_ID44.MTS"", ""20230113_mirror_dance01_dance_ID44.MTS""]","[318.069, 325.539]","[318.969, 340.147]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",8.csv
9,12,ID49,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20230113_mirror_dance01_midroll_ID49.MTS,,12,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance01_midroll_ID49.MTS,2023-01-13T14:35:40.0,2023-01-13T14:37:55.0,140.0,20230113_mirror_dance01_midroll_ID49.MTS,135.257,159.52,,9.csv
10,13,ID51,00:02:29.716,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230113_mirror_dance01_dance_ID51.MTS,,13,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance01_dance_ID51.MTS,2023-01-13T14:54:49.0,2023-01-13T14:57:11.0,149.716,"[""20230113_mirror_dance01_dance_ID51.MTS"", ""20230113_mirror_dance01_dance_ID51.MTS""]","[141.793, 162.405]","[149.716, 178.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",10.csv
