t,i,j
1318.0,463,715
1318.0416666666667,463,718
1318.0833333333333,463,718
1318.125,463,718
1318.1666666666667,463,718
1318.2083333333333,463,718
1318.25,463,718
1318.2916666666667,463,718
1318.3333333333333,464,718
1318.375,464,718
1318.4166666666667,464,718
1318.4583333333333,464,719
1318.5,463,720
1318.5416666666667,464,722
1318.5833333333333,464,723
1318.625,464,724
1318.6666666666667,465,725
1318.7083333333333,465,727
1318.75,465,728
1318.7916666666667,466,730
1318.8333333333333,466,732
1318.875,467,734
1318.9166666666667,468,735
1318.9583333333333,471,738
1319.0,474,741
1319.0416666666667,477,743
1319.0833333333333,478,745
1319.125,478,747
1319.1666666666667,476,747
1319.2083333333333,475,748
1319.25,475,749
1319.2916666666667,476,750
1319.3333333333333,477,752
1319.375,478,755
1319.4166666666667,478,758
1319.4583333333333,478,760
1319.5,476,761
1319.5416666666667,473,762
1319.5833333333333,471,761
1319.625,471,762
1319.6666666666667,472,764
1319.7083333333333,455,784
1319.75,456,774
1319.7916666666667,453,766
1319.8333333333333,453,766
1319.875,453,767
1319.9166666666667,454,768
1319.9583333333333,454,769
1320.0,454,769
1320.0416666666667,454,768
1320.0833333333333,454,767
1320.125,454,767
1320.1666666666667,453,765
1320.2083333333333,453,765
1320.25,453,765
1320.2916666666667,452,764
1320.3333333333333,452,763
1320.375,451,761
1320.4166666666667,450,759
1320.4583333333333,449,757
1320.5,447,753
1320.5416666666667,445,750
1320.5833333333333,444,748
1320.625,443,745
1320.6666666666667,442,741
1320.7083333333333,444,740
1320.75,445,739
1320.7916666666667,446,739
1320.8333333333333,444,739
1320.875,441,738
1320.9166666666667,437,737
1320.9583333333333,434,737
1321.0,430,736
1321.0416666666667,426,731
1321.0833333333333,425,729
1321.125,425,724
1321.1666666666667,428,721
1321.2083333333333,430,718
1321.25,431,715
1321.2916666666667,431,714
1321.3333333333333,431,714
1321.375,430,714
1321.4166666666667,429,713
1321.4583333333333,428,713
1321.5,427,712
1321.5416666666667,424,711
1321.5833333333333,422,709
1321.625,418,705
1321.6666666666667,414,702
1321.7083333333333,411,699
1321.75,409,698
1321.7916666666667,406,696
1321.8333333333333,403,695
1321.875,403,695
1321.9166666666667,405,694
1321.9583333333333,406,691
1322.0,409,688
