run_id,index,date,time,location,runs_dance,spontaneous_start,spontaneous_end,distance_cm,place,light,dance_by,at_run,condition,calibration_id,comment,window_size,target_width,row_number,runs_path,fps,runs_fullfile,runs_recording_datetime,start_datetime,poi,runs_file,start,stop,start_location,tij_file
1,1,11-22-2022,am,Bela-Bela,,,,10,outdoors,shift,no,1,50cm_midroll_run01,20221122_outdoors_2.MTS,,20,40.0,1,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_1.MTS,2022-11-21T22:14:59.0,2022-11-21T22:15:34.0,38.431,20221122_outdoors_1.MTS,35.0,47.0,"(955, 507)",1.csv
2,2,11-22-2022,,Bela-Bela,00:01:10,,,10,outdoors,shift,hold,1,50cm_dance_run01_pre,20221122_outdoors_2.MTS,,20,40.0,2,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_2.MTS,2022-11-21T22:18:05.0,2022-11-21T22:19:12.0,70.0,"[""20221122_outdoors_2.MTS"", ""20221122_outdoors_2.MTS""]","[67.0, 95.0]","[70.0, 112.0]","[(955, 507), (1015, 530)]",2.csv
3,4,11-22-2022,,Bela-Bela,,00:00:21,00:00:27,10,outdoors,shift,no,1,50cm_spontaneous_run01,20221122_outdoors_2.MTS,spontaneous dance,20,40.0,4,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:21:04.0,18.8,20221122_outdoors_3_manybeetles.MTS,16.0,44.8,"(955, 507)",3.csv
4,5,11-22-2022,9:25,Bela-Bela,,,,10,outdoors,shift,no,1,50cm_midroll_run01,20221122_outdoors_2.MTS,,20,40.0,5,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:22:06.0,80.0,20221122_outdoors_3_manybeetles.MTS,78.0,90.0,"(955, 507)",4.csv
5,6,11-22-2022,,Bela-Bela,,,,10,outdoors,shift,no,1,50cm_midroll_run01,20221122_outdoors_2.MTS,,20,40.0,6,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:24:28.0,223.0,20221122_outdoors_3_manybeetles.MTS,220.0,267.0,"(955, 507)",5.csv
6,7,11-22-2022,,Bela-Bela,00:07:13,,,10,outdoors,shift,hold,1,50cm_dance_run01_pre,20221122_outdoors_2.MTS,,20,40.0,7,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:27:59.0,433.0,"[""20221122_outdoors_3_manybeetles.MTS"", ""20221122_outdoors_3_manybeetles.MTS""]","[431.0, 445.0]","[433.0, 460.0]","[(955, 507), (968, 588)]",6.csv
7,9,11-22-2022,,Bela-Bela,,,,10,outdoors,shift,no,1,50cm_midroll_run01,20221122_outdoors_2.MTS,,20,40.0,9,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:29:04.0,499.0,20221122_outdoors_3_manybeetles.MTS,496.0,511.0,"(955, 507)",7.csv
8,10,11-22-2022,,Bela-Bela,00:09:15,,,10,outdoors,shift,hold,1,50cm_dance_run01_pre,20221122_outdoors_2.MTS,,20,40.0,10,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:30:01.0,555.0,"[""20221122_outdoors_3_manybeetles.MTS"", ""20221122_outdoors_3_manybeetles.MTS""]","[553.0, 561.0]","[555.0, 575.0]","[(955, 507), (1005, 566)]",8.csv
9,12,11-22-2022,,Bela-Bela,,,,10,outdoors,shift,no,1,50cm_midroll_run01,20221122_outdoors_2.MTS,,20,40.0,12,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:31:05.0,619.0,20221122_outdoors_3_manybeetles.MTS,617.0,626.0,"(955, 507)",9.csv
10,13,11-22-2022,9:35,Bela-Bela,00:11:21,,,10,outdoors,shift,hold,1,50cm_dance_run01_pre,20221122_outdoors_2.MTS,,20,40.0,13,.,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors_50cm/./20221122_outdoors_3_manybeetles.MTS,2022-11-21T22:20:48.0,2022-11-21T22:32:06.0,681.0,"[""20221122_outdoors_3_manybeetles.MTS"", ""20221122_outdoors_3_manybeetles.MTS""]","[678.0, 685.0]","[681.0, 698.0]","[(955, 507), (1023, 536)]",10.csv
