placed,exit,elevation,id,abs_total,category,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE,cw1,cw2,cw3,dance1,dance2,dance3,minimized_rotation,placed_from_left,shorter_direction1,lap,changed_direction,residual1,too_close
250,355,5,#01_20170509,310,both,1,cw,0,70,ccw,0,150,,,,true,false,,30,-280,,false,true,true,false,true,-80,false
55,25,5,#02_20170509,55,ccw,0,ccw,0,110,,,,,,,false,,,-55,,,true,false,true,false,false,-180,false
280,25,5,#03_20170509,280,ccw,0,ccw,0,115,,,,,,,false,,,-280,,,false,true,false,false,false,-180,false
95,345,5,#04_20170509,95,ccw,0,ccw,0,305,,,,,,,false,,,-95,,,true,false,true,false,false,-180,false
55,70,5,#05_20170509,55,ccw,0,ccw,0,60,,,,,,,false,,,-55,,,true,false,true,false,false,-180,false
240,60,5,#06_20170509,240,ccw,0,ccw,0,75,,,,,,,false,,,-240,,,false,true,false,false,false,-180,false
85,85,5,#07_20170509,85,ccw,0,ccw,0,220,,,,,,,false,,,-85,,,true,false,true,false,false,-180,false
235,330,5,#08_20170509,125,cw,0,cw,0,90,,,,,,,true,,,125,,,true,true,true,false,false,0,false
170,345,5,#09_20170529,170,ccw,0,ccw,0,200,,,,,,,false,,,-170,,,true,false,true,false,false,-180,false
85,35,5,#10_20170529,85,ccw,0,ccw,0,70,,,,,,,false,,,-85,,,true,false,true,false,false,-180,false
25,75,5,#12_20170529,25,ccw,0,ccw,0,290,,,,,,,false,,,-25,,,true,false,true,false,false,-180,false
185,285,5,#13_20170529,185,ccw,0,ccw,0,230,,,,,,,false,,,-185,,,false,true,false,false,false,-180,false
90,0,5,#14_20170529,90,ccw,0,ccw,0,145,,,,,,,false,,,-90,,,true,false,true,false,false,-180,false
235,355,5,#15_20170529,125,cw,0,cw,0,20,,,,,,,true,,,125,,,true,true,true,false,false,0,false
310,330,5,#16_20170529,50,cw,0,cw,0,320,,,,,,,true,,,50,,,true,true,true,false,false,0,false
125,0,5,#17_20170529,125,ccw,0,ccw,0,155,,,,,,,false,,,-125,,,true,false,true,false,false,-180,false
65,340,5,#18_20170529,65,ccw,0,ccw,0,170,,,,,,,false,,,-65,,,true,false,true,false,false,-180,false
280,5,5,#19_20170529,80,cw,0,cw,0,55,,,,,,,true,,,80,,,true,true,true,false,false,0,false
50,5,5,#20_20170529,310,cw,0,cw,0,180,,,,,,,true,,,310,,,false,false,false,false,false,0,false
240,325,5,#21_20170616,240,ccw,0,ccw,0,95,,,,,,,false,,,-240,,,false,true,false,false,false,-180,false
50,0,5,#22_20170616,310,cw,0,cw,0,280,,,,,,,true,,,310,,,false,false,false,false,false,0,false
80,295,5,#23_20170619,80,ccw,0,ccw,0,230,,,,,,,false,,,-80,,,true,false,true,false,false,-180,false
80,220,5,#24_20170616,80,ccw,0,ccw,0,220,,,,,,,false,,,-80,,,true,false,true,false,false,-180,false
225,315,5,#25_20170619,225,ccw,0,ccw,0,5,,,,,,,false,,,-225,,,false,true,false,false,false,-180,false
120,320,5,#27_20170622,120,ccw,0,ccw,0,305,,,,,,,false,,,-120,,,true,false,true,false,false,-180,false
120,25,5,#28_28062017,240,cw,0,cw,0,115,,,,,,,true,,,240,,,false,false,false,false,false,0,false
270,330,5,#29_27062017,90,cw,0,cw,0,175,,,,,,,true,,,90,,,true,true,true,false,false,0,false
210,345,22,#01_20170328,210,ccw,0,ccw,0,280,,,,,,,false,,,-210,,,false,true,false,false,false,-180,false
10,345,22,#02_20170328,10,ccw,0,ccw,0,50,,,,,,,false,,,-10,,,true,false,true,false,false,-180,false
345,35,22,#04_20170328,105,both,1,cw,0,310,ccw,0,265,,,,true,false,,60,-45,,false,true,true,false,true,45,false
5,15,22,#05_20170329,365,ccw,0,ccw,1,15,,,,,,,false,,,-365,,,false,false,true,true,false,-180,true
70,5,22,#06_20170329,310,both,1,cw,0,250,ccw,0,60,,,,true,false,,120,-190,,false,false,false,false,true,-170,false
245,5,22,#07_20170329,245,ccw,0,ccw,0,125,,,,,,,false,,,-245,,,false,true,false,false,false,-180,false
210,345,22,#09_20170329,230,both,1,ccw,0,135,cw,0,145,,,,false,true,,-220,10,,false,true,false,false,true,-190,false
225,335,22,#10_20170329,135,cw,0,cw,0,100,,,,,,,true,,,135,,,true,true,true,false,false,0,false
180,325,22,#11_20170329,180,cw,0,cw,0,165,,,,,,,true,,,180,,,true,false,false,false,false,0,false
70,225,22,#12_20170329,70,ccw,0,ccw,0,125,,,,,,,false,,,-70,,,true,false,true,false,false,-180,false
235,355,22,#13_20170329,235,ccw,0,ccw,0,185,,,,,,,false,,,-235,,,false,true,false,false,false,-180,false
235,335,22,#14_20170329,275,both,2,ccw,0,40,cw,0,60,ccw,0,180,false,true,false,-15,20,-240,false,true,false,false,true,140,false
275,355,22,#15_20170329,175,both,1,ccw,0,85,cw,0,215,,,,false,true,,-45,130,,false,true,false,false,true,130,false
280,275,22,#16_20170329,280,ccw,0,ccw,0,125,,,,,,,false,,,-280,,,false,true,false,false,false,-180,false
85,10,22,#17_20170330,85,ccw,0,ccw,0,30,,,,,,,false,,,-85,,,true,false,true,false,false,-180,false
5,350,22,#18_20170330,355,cw,0,cw,0,110,,,,,,,true,,,355,,,false,false,false,false,false,0,true
155,40,22,#19_20170330,295,both,1,cw,0,345,ccw,0,120,,,,true,false,,70,-225,,false,false,false,false,true,-135,false
30,355,22,#20_20170330,330,cw,0,cw,0,250,,,,,,,true,,,330,,,false,false,false,false,false,0,false
140,40,22,#21_20170330,140,ccw,0,ccw,0,20,,,,,,,false,,,-140,,,true,false,true,false,false,-180,false
310,10,22,#22_20170330,410,cw,0,cw,1,180,,,,,,,true,,,410,,,false,true,true,true,false,0,false
170,20,22,#29_20170331,190,cw,0,cw,0,35,,,,,,,true,,,190,,,false,false,false,false,false,0,false
45,345,22,#30_20170331,465,both,2,cw,0,60,ccw,0,165,cw,0,215,true,false,true,160,-255,50,false,false,false,false,true,-155,false
145,10,22,#31_20170331,285,both,1,ccw,0,230,cw,0,120,,,,false,true,,-35,250,,false,false,true,false,true,-70,false
120,15,22,#32_20170331,310,both,1,ccw,0,200,cw,0,115,,,,false,true,,-35,275,,false,false,true,false,true,-95,false
315,340,22,#33_20170331,315,ccw,0,ccw,0,155,,,,,,,false,,,-315,,,false,true,false,false,false,-180,false
25,15,22,#34_20170403,25,ccw,0,ccw,0,220,,,,,,,false,,,-25,,,true,false,true,false,false,-180,false
295,90,22,#35_20170403,65,cw,0,cw,0,55,,,,,,,true,,,65,,,true,true,true,false,false,0,false
155,305,22,#36_20170403,155,ccw,0,ccw,0,75,,,,,,,false,,,-155,,,true,false,true,false,false,-180,false
5,355,22,#37_20170403,5,ccw,0,ccw,0,270,,,,,,,false,,,-5,,,true,false,true,false,false,-180,true
75,335,22,#38_20170403,75,ccw,0,ccw,0,70,,,,,,,false,,,-75,,,true,false,true,false,false,-180,false
105,35,22,#39_20170403,105,ccw,0,ccw,0,205,,,,,,,false,,,-105,,,true,false,true,false,false,-180,false
50,50,45,#01_20170411,310,cw,0,cw,0,125,,,,,,,true,,,310,,,false,false,false,false,false,0,false
115,40,45,#02_20170411,165,both,1,cw,0,265,ccw,0,125,,,,true,false,,25,-140,,false,false,false,false,true,140,false
190,335,45,#03_20170411,200,both,1,ccw,0,175,cw,0,0,,,,false,true,,-15,185,,false,true,false,false,true,-5,false
