index;condition;elevation;nr_in_cond;individual;year_extracted;person_extracted;total_rotation
1;LED;5;1;5-1;2017;Elin;277
2;LED;5;2;5-2;2017;Elin;26
3;LED;5;3;5-3;2017;Elin;255
4;LED;5;4;5-4;2017;Elin;94
5;LED;5;5;5-5;2017;Elin;54
6;LED;5;6;5-6;2017;Elin;196
7;LED;5;7;5-7;2017;Elin;105
8;LED;5;8;5-8;2017;Elin;167
9;LED;5;9;5-9;2017;Elin;189
10;LED;5;10;5-10;2017;Elin;103
11;LED;5;11;5-11;2017;Elin;NA
12;LED;5;12;5-12;2017;Elin;0
13;LED;5;13;5-13;2017;Elin;119
14;LED;5;14;5-14;2017;Elin;86
15;LED;5;15;5-15;2017;Elin;134
16;LED;5;16;5-16;2017;Elin;0
17;LED;5;17;5-17;2017;Elin;68
18;LED;5;18;5-18;2017;Elin;26
19;LED;5;19;5-19;2017;Elin;101
20;LED;5;20;5-20;2017;Elin;301
21;LED;5;21;5-21;2017;Elin;224
22;LED;5;22;5-22;2017;Elin;303
23;LED;5;23;5-23;2017;Elin;113
24;LED;5;24;5-24;2017;Elin;114
25;LED;5;25;5-25;2017;Elin;229
26;LED;5;26;5-26;2017;Elin;NA
27;LED;5;27;5-27;2017;Elin;136
28;LED;5;28;5-28;2017;Elin;228
29;LED;5;29;5-29;2017;Elin;151
30;LED;5;1;5-1;2025;Elin;310
31;LED;5;2;5-2;2025;Elin;55
32;LED;5;3;5-3;2025;Elin;280
33;LED;5;4;5-4;2025;Elin;95
34;LED;5;5;5-5;2025;Elin;55
35;LED;5;6;5-6;2025;Elin;240
36;LED;5;7;5-7;2025;Elin;85
37;LED;5;8;5-8;2025;Elin;125
38;LED;5;9;5-9;2025;Elin;170
39;LED;5;10;5-10;2025;Elin;85
40;LED;5;11;5-11;2025;Elin;NA
41;LED;5;12;5-12;2025;Elin;25
42;LED;5;13;5-13;2025;Elin;185
43;LED;5;14;5-14;2025;Elin;90
44;LED;5;15;5-15;2025;Elin;125
45;LED;5;16;5-16;2025;Elin;50
46;LED;5;17;5-17;2025;Elin;125
47;LED;5;18;5-18;2025;Elin;65
48;LED;5;19;5-19;2025;Elin;80
49;LED;5;20;5-20;2025;Elin;310
50;LED;5;21;5-21;2025;Elin;240
51;LED;5;22;5-22;2025;Elin;310
52;LED;5;23;5-23;2025;Elin;80
53;LED;5;24;5-24;2025;Elin;80
54;LED;5;25;5-25;2025;Elin;225
55;LED;5;26;5-26;2025;Elin;NA
56;LED;5;27;5-27;2025;Elin;120
57;LED;5;28;5-28;2025;Elin;240
58;LED;5;29;5-29;2025;Elin;90
59;LED;5;1;5-1;2025;Lana;285
60;LED;5;2;5-2;2025;Lana;45
61;LED;5;3;5-3;2025;Lana;260
62;LED;5;4;5-4;2025;Lana;105
63;LED;5;5;5-5;2025;Lana;50
64;LED;5;6;5-6;2025;Lana;200
65;LED;5;7;5-7;2025;Lana;NA
66;LED;5;8;5-8;2025;Lana;80
67;LED;5;9;5-9;2025;Lana;175
68;LED;5;10;5-10;2025;Lana;110
69;LED;5;11;5-11;2025;Lana;NA
70;LED;5;12;5-12;2025;Lana;135
71;LED;5;13;5-13;2025;Lana;190
72;LED;5;14;5-14;2025;Lana;80
73;LED;5;15;5-15;2025;Lana;140
74;LED;5;16;5-16;2025;Lana;35
75;LED;5;17;5-17;2025;Lana;100
76;LED;5;18;5-18;2025;Lana;50
77;LED;5;19;5-19;2025;Lana;100
78;LED;5;20;5-20;2025;Lana;300
