index,condition,elevation,nr_in_cond,individual,year_extracted,person_extracted,total_rotation,go_down_angle_FACE,exit_angle_BUTT,rotation_category,placed_from_angle_FACE,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE
1,LED,5,1,#01_20170509,2025,Elin,310,150,325,both,40,1,cw,0,70,ccw,0,150,,,
2,LED,5,2,#02_20170509,2025,Elin,55,110,315,ccw,165,0,ccw,0,110,,,,,,
3,LED,5,3,#03_20170509,2025,Elin,280,115,320,ccw,35,0,ccw,0,115,,,,,,
4,LED,5,4,#04_20170509,2025,Elin,95,305,110,ccw,40,0,ccw,0,305,,,,,,
5,LED,5,5,#05_20170509,2025,Elin,55,60,310,ccw,115,0,ccw,0,60,,,,,,
6,LED,5,6,#06_20170509,2025,Elin,240,75,315,ccw,315,0,ccw,0,75,,,,,,
7,LED,5,7,#07_20170509,2025,Elin,85,220,125,ccw,305,0,ccw,0,220,,,,,,
8,LED,5,8,#08_20170509,2025,Elin,125,90,240,cw,325,0,cw,0,90,,,,,,
9,LED,5,9,#09_20170529,2025,Elin,170,200,5,ccw,10,0,ccw,0,200,,,,,,
10,LED,5,10,#10_20170529,2025,Elin,85,70,285,ccw,155,0,ccw,0,70,,,,,,
11,LED,5,11,#11_20170529,2025,Elin,NA,,,,,,,,,,,,,,
12,LED,5,12,#12_20170529,2025,Elin,25,290,185,ccw,315,0,ccw,0,290,,,,,,
13,LED,5,13,#13_20170529,2025,Elin,185,230,335,ccw,55,0,ccw,0,230,,,,,,
14,LED,5,14,#14_20170529,2025,Elin,90,145,325,ccw,235,0,ccw,0,145,,,,,,
15,LED,5,15,#15_20170529,2025,Elin,125,20,195,cw,255,0,cw,0,20,,,,,,
16,LED,5,16,#16_20170529,2025,Elin,50,320,110,cw,270,0,cw,0,320,,,,,,
17,LED,5,17,#17_20170529,2025,Elin,125,155,335,ccw,280,0,ccw,0,155,,,,,,
18,LED,5,18,#18_20170529,2025,Elin,65,170,330,ccw,235,0,ccw,0,170,,,,,,
19,LED,5,19,#19_20170529,2025,Elin,80,55,240,cw,335,0,cw,0,55,,,,,,
20,LED,5,20,#20_20170529,2025,Elin,310,180,5,cw,230,0,cw,0,180,,,,,,
21,LED,5,21,#21_20170616,2025,Elin,240,95,240,ccw,335,0,ccw,0,95,,,,,,
22,LED,5,22,#22_20170616,2025,Elin,310,280,100,cw,330,0,cw,0,280,,,,,,
23,LED,5,23,#23_20170619,2025,Elin,80,230,345,ccw,310,0,ccw,0,230,,,,,,
24,LED,5,24,#24_20170616,2025,Elin,80,220,260,ccw,300,0,ccw,0,220,,,,,,
25,LED,5,25,#25_20170619,2025,Elin,225,5,140,ccw,230,0,ccw,0,5,,,,,,
26,LED,5,26,#26_22062017,2025,Elin,NA,,,,,,,,,,,,,,
27,LED,5,27,#27_20170622,2025,Elin,120,305,85,ccw,65,0,ccw,0,305,,,,,,
28,LED,5,28,#28_28062017,2025,Elin,240,115,320,cw,235,0,cw,0,115,,,,,,
29,LED,5,29,#29_27062017,2025,Elin,90,175,325,cw,85,0,cw,0,175,,,,,,
30,LED,22,1,#01_20170328,2025,Elin,210,280,85,ccw,130,0,ccw,0,280,,,,,,
31,LED,22,2,#02_20170328,2025,Elin,10,50,215,ccw,60,0,ccw,0,50,,,,,,
32,LED,22,3,#03_20170328,2025,Elin,NA,,,,,,,,,,,,,,
33,LED,22,4,#04_20170328,2025,Elin,105,265,120,both,250,1,cw,0,310,ccw,0,265,,,
34,LED,22,5,#05_20170329,2025,Elin,365,15,210,ccw,20,0,ccw,1,15,,,,,,
35,LED,22,6,#06_20170329,2025,Elin,310,60,245,both,130,1,cw,0,250,ccw,0,60,,,
