t,i,j
16.0,473,720
16.041666666666668,472,719
16.083333333333332,472,718
16.125,471,716
16.166666666666668,470,715
16.208333333333332,470,714
16.25,471,712
16.291666666666668,471,712
16.333333333333332,470,712
16.375,470,712
16.416666666666668,471,711
16.458333333333332,471,711
16.5,471,708
16.541666666666668,472,707
16.583333333333332,472,705
16.625,473,703
16.666666666666668,473,701
16.708333333333332,472,700
16.75,471,697
16.791666666666668,471,695
16.833333333333332,472,694
16.875,473,694
16.916666666666668,473,694
16.958333333333332,473,694
17.0,473,694
17.041666666666668,473,693
17.083333333333332,473,693
17.125,474,691
17.166666666666668,475,690
17.208333333333332,476,689
17.25,478,688
17.291666666666668,480,686
17.333333333333332,482,685
17.375,482,683
17.416666666666668,483,680
17.458333333333332,483,678
17.5,481,678
17.541666666666668,480,677
17.583333333333332,479,677
17.625,478,676
17.666666666666668,477,676
17.708333333333332,477,675
17.75,476,674
17.791666666666668,477,674
17.833333333333332,477,673
17.875,478,671
17.916666666666668,479,670
17.958333333333332,479,668
18.0,479,666
18.041666666666668,480,665
18.083333333333332,480,664
18.125,480,663
18.166666666666668,480,662
18.208333333333332,480,660
18.25,481,658
18.291666666666668,483,657
18.333333333333332,484,657
18.375,486,658
18.416666666666668,487,658
18.458333333333332,488,658
18.5,488,658
18.541666666666668,488,657
18.583333333333332,489,656
18.625,490,655
18.666666666666668,490,653
18.708333333333332,492,652
18.75,492,651
18.791666666666668,492,651
18.833333333333332,493,649
18.875,494,646
18.916666666666668,495,642
18.958333333333332,496,643
19.0,496,643
19.041666666666668,497,643
19.083333333333332,497,643
19.125,498,643
19.166666666666668,498,644
19.208333333333332,498,644
19.25,498,645
19.291666666666668,498,646
19.333333333333332,497,646
19.375,497,646
19.416666666666668,499,648
19.458333333333332,500,649
19.5,501,649
19.541666666666668,502,651
19.583333333333332,504,652
19.625,505,653
19.666666666666668,506,653
19.708333333333332,508,654
19.75,509,654
19.791666666666668,510,655
19.833333333333332,511,656
19.875,513,658
19.916666666666668,513,659
19.958333333333332,513,659
20.0,513,659
20.041666666666668,513,659
20.083333333333332,514,660
20.125,514,660
20.166666666666668,514,660
20.208333333333332,515,661
20.25,515,661
20.291666666666668,516,662
20.333333333333332,517,662
20.375,517,663
20.416666666666668,517,663
20.458333333333332,518,664
20.5,518,664
20.541666666666668,518,665
20.583333333333332,518,666
20.625,518,667
20.666666666666668,518,668
